priceDate,maxPrice,minPrice,modalPrice
2018-09-01 00:00:00,1662.6907122140983,606.3576944221786,1059.8622355582484
2018-09-02 00:00:00,1662.882736862346,606.3959158216348,1059.9625409976725
2018-09-03 00:00:00,1663.074761510623,606.4341372210911,1060.062846437082
2018-09-04 00:00:00,1663.2667861588707,606.4723586205473,1060.1631518765062
2018-09-05 00:00:00,1663.4588108071184,606.5105800200035,1060.2634573159303
2018-09-06 00:00:00,1663.6508354553662,606.5488014194598,1060.3637627553398
2018-09-07 00:00:00,1663.842860103614,606.587022818916,1060.464068194764
2018-09-08 00:00:00,1664.0348847518908,606.6252442183722,1060.5643736341735
2018-09-09 00:00:00,1664.2269094001385,606.6634656178285,1060.6646790735977
2018-09-10 00:00:00,1664.4189340483863,606.7016870172847,1060.7649845130072
2018-09-11 00:00:00,1664.610958696634,606.739908416741,1060.8652899524313
2018-09-12 00:00:00,1664.8029833448818,606.7781298161972,1060.965595391841
2018-09-13 00:00:00,1664.9950079931587,606.8163512156534,1061.065900831265
2018-09-14 00:00:00,1665.1870326414064,606.8545726151133,1061.1662062706746
2018-09-15 00:00:00,1665.3790572896542,606.8927940145695,1061.2665117100987
2018-09-16 00:00:00,1665.571081937902,606.9310154140258,1061.3668171495083
2018-09-17 00:00:00,1665.7631065861497,606.969236813482,1061.4671225889324
2018-09-18 00:00:00,1665.9551312343974,607.0074582129382,1061.567428028342
2018-09-19 00:00:00,1666.1471558826743,607.0456796123945,1061.667733467766
2018-09-20 00:00:00,1666.339180530922,607.0839010118507,1061.7680389071757
2018-09-21 00:00:00,1666.5312051791698,607.1221224113069,1061.8683443465998
2018-09-22 00:00:00,1666.7232298274175,607.1603438107632,1061.9686497860093
2018-09-23 00:00:00,1666.9152544756653,607.1985652102194,1062.0689552254335
2018-09-24 00:00:00,1667.1072791239421,607.2367866096756,1062.169260664843
2018-09-25 00:00:00,1667.29930377219,607.2750080091319,1062.2695661042671
2018-09-26 00:00:00,1667.4913284204376,607.3132294085881,1062.3698715436767
2018-09-27 00:00:00,1667.6833530686854,607.3514508080443,1062.4701769831008
2018-09-28 00:00:00,1667.8753777169331,607.3896722075006,1062.5704824225104
2018-09-29 00:00:00,1668.06740236521,607.4278936069568,1062.6707878619345
2018-09-30 00:00:00,1668.2594270134578,607.466115006413,1062.771093301344
